challenge_passage_id,challenge_group,text
C011,Q03,"In addition to the defects already enumerated in the existing federal system, there are others of not less importance, which concur in rendering it altogether unfit for the administration of the affairs of the Union. The want of a power to regulate commerce is by all parties allowed to be of the number. The utility of such a power has been anticipated under the first head of our inquiries; and for this reason, as well as from the universal conviction entertained upon the subject, little need be added in this place. It is indeed evident, on the most superficial view, that there is no object, either as it respects the interests of trade or finance, that more strongly demands a federal superintendence. The want of it has already operated as a bar to the formation of beneficial treaties with foreign powers, and has given occasions of dissatisfaction between the States."
C012,Q04,"Previous to the Revolution, and ever since the peace, there has been a constant necessity for keeping small garrisons on our Western frontier. No person can doubt that these will continue to be indispensable, if it should only be against the ravages and depredations of the Indians. These garrisons must either be furnished by occasional detachments from the militia, or by permanent corps in the pay of the government. The first is impracticable; and if practicable, would be pernicious. The militia would not long, if at all, submit to be dragged from their occupations and families to perform that most disagreeable duty in times of profound peace. And if they could be prevailed upon or compelled to do it, the increased expense of a frequent rotation of service, and the loss of labor and disconcertion of the industrious pursuits of individuals, would form conclusive objections to the scheme. It would be as burdensome and injurious to the public as ruinous to private citizens."
C013,Q05,"As every State may be divided into different districts, and its citizens into different classes, which give birth to contending interests and local jealousies, so the different parts of the United States are distinguished from each other by a variety of circumstances, which produce a like effect on a larger scale. And although this variety of interests, for reasons sufficiently explained in a former paper, may have a salutary influence on the administration of the government when formed, yet every one must be sensible of the contrary influence, which must have been experienced in the task of forming it. Would it be wonderful if, under the pressure of all these difficulties, the convention should have been forced into some deviations from that artificial structure and regular symmetry which an abstract view of the subject might lead an ingenious theorist to bestow on a Constitution planned in his closet or in his imagination? The real wonder is that so many difficulties should have been surmounted, and surmounted with a unanimity almost as unprecedented as it must have been unexpected."
C014,Q04,"There are, and will be, particular posts, the possession of which will include the command of large districts of territory, and facilitate future invasions of the remainder. It may be added that some of those posts will be keys to the trade with the Indian nations. Can any man think it would be wise to leave such posts in a situation to be at any instant seized by one or the other of two neighboring and formidable powers? To act this part would be to desert all the usual maxims of prudence and policy. If we mean to be a commercial people, or even to be secure on our Atlantic side, we must endeavor, as soon as possible, to have a navy. To this purpose there must be dock-yards and arsenals; and for the defense of these, fortifications, and probably garrisons. When a nation has become so powerful by sea that it can protect its dock-yards by its fleets, this supersedes the necessity of garrisons for that purpose; but where naval establishments are in their infancy, moderate garrisons will, in all likelihood, be found an indispensable security."
C015,Q03,"A circumstance which crowns the defects of the Confederation remains yet to be mentioned, the want of a judiciary power. Laws are a dead letter without courts to expound and define their true meaning and operation. The treaties of the United States, to have any force at all, must be considered as part of the law of the land. Their true import, as far as respects individuals, must, like all other laws, be ascertained by judicial determinations. To produce uniformity in these determinations, they ought to be submitted, in the last resort, to one supreme tribunal. And this tribunal ought to be instituted under the same authority which forms the treaties themselves. These ingredients are both indispensable. If there is in each State a court of final jurisdiction, there may be as many different final determinations on the same point as there are courts. There are endless diversities in the opinions of men. We often see not only different courts but the judges of the same court differing from each other."
C016,Q04,"But however little this objection may be countenanced, even by precedents among ourselves, it may be satisfactory to take a nearer view of its intrinsic merits. From a close examination it will appear that restraints upon the discretion of the legislature in respect to military establishments in time of peace, would be improper to be imposed, and if imposed, from the necessities of society, would be unlikely to be observed. Though a wide ocean separates the United States from Europe, yet there are various considerations that warn us against an excess of confidence or security. On one side of us, and stretching far into our rear, are growing settlements subject to the dominion of Britain. On the other side, and extending to meet the British settlements, are colonies and establishments subject to the dominion of Spain. This situation and the vicinity of the West India Islands, belonging to these two powers create between them, in respect to their American possessions and in relation to us, a common interest."
C017,Q01,"Notwithstanding the success which has attended the revisions of our established forms of government, and which does so much honor to the virtue and intelligence of the people of America, it must be confessed that the experiments are of too ticklish a nature to be unnecessarily multiplied. We are to recollect that all the existing constitutions were formed in the midst of a danger which repressed the passions most unfriendly to order and concord; of an enthusiastic confidence of the people in their patriotic leaders, which stifled the ordinary diversity of opinions on great national questions; of a universal ardor for new and opposite forms, produced by a universal resentment and indignation against the ancient government; and whilst no spirit of party connected with the changes to be made, or the abuses to be reformed, could mingle its leaven in the operation. The future situations in which we must expect to be usually placed, do not present any equivalent security against the danger which is apprehended. But the greatest objection of all is, that the decisions which would probably result from such appeals would not answer the purpose of maintaining the constitutional equilibrium of the government."
C018,Q03,"But this is not all: what at first sight may seem a remedy, is, in reality, a poison. To give a minority a negative upon the majority, which is always the case where more than a majority is requisite to a decision, is, in its tendency, to subject the sense of the greater number to that of the lesser. Congress, from the nonattendance of a few States, have been frequently in the situation of a Polish diet, where a single vote has been sufficient to put a stop to all their movements. A sixtieth part of the Union, which is about the proportion of Delaware and Rhode Island, has several times been able to oppose an entire bar to its operations. This is one of those refinements which, in practice, has an effect the reverse of what is expected from it in theory. The necessity of unanimity in public bodies, or of something approaching towards it, has been founded upon a supposition that it would contribute to security."
C019,Q02,"Suppose, then, that the expressions defining the authority of the convention were irreconcilably at variance with each other; that a national and adequate government could not possibly, in the judgment of the convention, be affected by alterations and provisions in the Articles of Confederation; which part of the definition ought to have been embraced, and which rejected? Which was the more important, which the less important part? Which the end; which the means? Let the most scrupulous expositors of delegated powers; let the most inveterate objectors against those exercised by the convention, answer these questions. Let them declare, whether it was of most importance to the happiness of the people of America, that the articles of Confederation should be disregarded, and an adequate government be provided, and the Union preserved; or that an adequate government should be omitted, and the articles of Confederation preserved. Let them declare, whether the preservation of these articles was the end, for securing which a reform of the government was to be introduced as the means; or whether the establishment of a government, adequate to the national happiness, was the end at which these articles themselves originally aimed."
C020,Q05,"The jurisdiction of her several courts, general and local, of law, of equity, of admiralty, etc., is not less a source of frequent and intricate discussions, sufficiently denoting the indeterminate limits by which they are respectively circumscribed. All new laws, though penned with the greatest technical skill, and passed on the fullest and most mature deliberation, are considered as more or less obscure and equivocal, until their meaning be liquidated and ascertained by a series of particular discussions and adjudications. Besides the obscurity arising from the complexity of objects, and the imperfection of the human faculties, the medium through which the conceptions of men are conveyed to each other adds a fresh embarrassment. The use of words is to express ideas. Perspicuity, therefore, requires not only that the ideas should be distinctly formed, but that they should be expressed by words distinctly and exclusively appropriate to them. But no language is so copious as to supply words and phrases for every complex idea, or so correct as not to include many equivocally denoting different ideas."
C021,Q01,"If it be true that all governments rest on opinion, it is no less true that the strength of opinion in each individual, and its practical influence on his conduct, depend much on the number which he supposes to have entertained the same opinion. The reason of man, like man himself, is timid and cautious when left alone, and acquires firmness and confidence in proportion to the number with which it is associated. When the examples which fortify opinion are ancient as well as numerous, they are known to have a double effect. In a nation of philosophers, this consideration ought to be disregarded. A reverence for the laws would be sufficiently inculcated by the voice of an enlightened reason. But a nation of philosophers is as little to be expected as the philosophical race of kings wished for by Plato. And in every other nation, the most rational government will not find it a superfluous advantage to have the prejudices of the community on its side. The danger of disturbing the public tranquillity by interesting too strongly the public passions, is a still more serious objection against a frequent reference of constitutional questions to the decision of the whole society."
C022,Q02,"The second point to be examined is, whether the convention were authorized to frame and propose this mixed Constitution. The powers of the convention ought, in strictness, to be determined by an inspection of the commissions given to the members by their respective constituents. As all of these, however, had reference, either to the recommendation from the meeting at Annapolis, in September, 1786, or to that from Congress, in February, 1787, it will be sufficient to recur to these particular acts. The act from Annapolis recommends the appointment of commissioners to take into consideration the situation of the United States; to devise such further provisions as shall appear to them necessary to render the Constitution of the federal government adequate to the exigencies of the Union; and to report such an act for that purpose, to the United States in Congress assembled, as when agreed to by them, and afterwards confirmed by the legislature of every State, will effectually provide for the same. From these acts is to be deduced the authority under which the convention acted."
C023,Q03,"The right of equal suffrage among the States is another exceptionable part of the Confederation. Every idea of proportion and every rule of fair representation conspire to condemn a principle, which gives to Rhode Island an equal weight in the scale of power with Massachusetts, or Connecticut, or New York; and to Delaware an equal voice in the national deliberations with Pennsylvania, or Virginia, or North Carolina. Its operation contradicts the fundamental maxim of republican government, which requires that the sense of the majority should prevail. Sophistry may reply, that sovereigns are equal, and that a majority of the votes of the States will be a majority of confederated America. But this kind of logical legerdemain will never counteract the plain suggestions of justice and common-sense. It may happen that this majority of States is a small minority of the people of America; and two thirds of the people of America could not long be persuaded, upon the credit of artificial distinctions and syllogistic subtleties, to submit their interests to the management and disposal of one third."
C024,Q02,"In the preceding inquiries the powers of the convention have been analyzed and tried with the same rigor, and by the same rules, as if they had been real and final powers for the establishment of a Constitution for the United States. We have seen in what manner they have borne the trial even on that supposition. It is time now to recollect that the powers were merely advisory and recommendatory; that they were so meant by the States, and so understood by the convention; and that the latter have accordingly planned and proposed a Constitution which is to be of no more consequence than the paper on which it is written, unless it be stamped with the approbation of those to whom it is addressed. This reflection places the subject in a point of view altogether different, and will enable us to judge with propriety of the course taken by the convention."
C025,Q01,"As the people are the only legitimate fountain of power, and it is from them that the constitutional charter, under which the several branches of government hold their power, is derived, it seems strictly consonant to the republican theory, to recur to the same original authority, not only whenever it may be necessary to enlarge, diminish, or new-model the powers of the government, but also whenever any one of the departments may commit encroachments on the chartered authorities of the others. The several departments being perfectly co-ordinate by the terms of their common commission, none of them, it is evident, can pretend to an exclusive or superior right of settling the boundaries between their respective powers; and how are the encroachments of the stronger to be prevented, or the wrongs of the weaker to be redressed, without an appeal to the people themselves, who, as the grantors of the commissions, can alone declare its true meaning, and enforce its observance? There is certainly great force in this reasoning, and it must be allowed to prove that a constitutional road to the decision of the people ought to be marked out and kept open, for certain great and extraordinary occasions."
